GRB (Trig#),z,Bayes Ep [keV],Bayes Eiso [erg] (Sbol if no z),T_90,Energy Fluence (15-350 keV) [erg/cm^2]
GRB111209A (00509336),0.677,"122.14 (47.32,675.79)","1.46e+51 (8.84e+50,4.06e+51)",4.640 +/-0.333,"1.3171e-06 (9.6891e-07,1.7364e-06)"
GRB111123A (00508319),3.1516,"100.00 (79.33,182.98)","2.39e+53 (1.99e+53,3.21e+53)",235.200 +/-6.579,"8.8019e-06 (8.1633e-06,9.6034e-06)"
GRB111107A (00507185),2.893,"164.87 (84.23,664.12)","3.24e+52 (2.44e+52,6.51e+52)",31.590 +/-2.440,"1.5964e-06 (1.4512e-06,1.7530e-06)"
GRB111008A (00505054),4.9898,"90.48 (61.11,446.39)","4.75e+53 (4.07e+53,8.51e+53)",75.660 +/-2.251,"9.6452e-06 (9.1476e-06,1.0164e-05)"
GRB110818A (00500914),3.36,"100.00 (70.48,391.26)","1.40e+53 (1.16e+53,2.70e+53)",77.280 +/-5.606,"6.1138e-06 (5.7628e-06,6.4814e-06)"
GRB110808A (00458918),1.348,"25.92 (1.51,51.86)","2.77e+51 (2.14e+51,8.55e+51)",39.380 +/-3.435,"4.2673e-07 (3.4597e-07,5.2266e-07)"
GRB110801A (00458521),1.858,"60.65 (42.41,130.90)","6.17e+52 (4.88e+52,8.89e+52)",400.400 +/-1.994,"6.8545e-06 (6.4693e-06,7.2602e-06)"
GRB110731A (00458448),2.83,"405.52 (219.99,935.64)","3.53e+53 (2.37e+53,6.17e+53)",46.560 +/-7.138,"1.2516e-05 (1.2171e-05,1.2870e-05)"
GRB110715A (00457330),0.82,"89.36 (81.07,97.66)","2.94e+52 (2.73e+52,3.21e+52)",13.150 +/-1.403,"1.4023e-05 (1.3670e-05,1.4402e-05)"
GRB110503A (00452685),1.613,"141.91 (106.53,231.00)","1.14e+53 (9.38e+52,1.56e+53)",9.310 +/-0.640,"1.4277e-05 (1.3207e-05,1.5574e-05)"
GRB110422A (00451901),1.77,"110.52 (104.38,118.90)","4.38e+53 (4.20e+53,4.73e+53)",26.730 +/-0.295,"5.1669e-05 (5.0511e-05,5.2898e-05)"
GRB110213A (00445414),1.46,"67.03 (38.60,142.42)","5.06e+52 (4.16e+52,8.14e+52)",43.120 +/-3.473,"8.7726e-06 (8.2428e-06,9.3281e-06)"
GRB110205A (00444643),2.22,"97.53 (81.92,138.65)","2.96e+53 (2.69e+53,3.65e+53)",277.020 +/-4.669,"1.9757e-05 (1.8786e-05,2.0874e-05)"
GRB110128A (00443861),2.339,"300.42 (111.49,852.44)","2.21e+52 (1.09e+52,4.69e+52)",17.100 +/-0.701,"1.3701e-06 (1.1598e-06,1.6097e-06)"
GRB101225A (00441015),0.847,"448.17 (29.12,2756.18)","2.59e+51 (6.00e+50,6.38e+51)",63.000 +/-6.967,"1.5304e-06 (8.5346e-07,2.7361e-06)"
GRB101219B (00440635),0.55,"49.66 (5.10,196.67)","2.84e+51 (2.32e+51,6.26e+51)",41.800 +/-1.453,"3.7463e-06 (3.1917e-06,4.3755e-06)"
GRB101219A (00440606),0.718,"265.12 (349.78,1688.06)","3.01e+51 (2.31e+51,1.11e+52)",0.860 +/-0.058,"1.4209e-06 (1.3269e-06,1.5202e-06)"
GRB101213A (00440285),0.414,"405.52 (162.13,1055.55)","6.87e+51 (4.22e+51,1.20e+52)",175.680 +/-15.297,"9.3562e-06 (8.8413e-06,9.8953e-06)"
GRB100906A (00433509),1.727,"156.83 (117.01,459.78)","1.34e+53 (1.13e+53,1.99e+53)",116.850 +/-0.694,"1.3692e-05 (1.3445e-05,1.3942e-05)"
GRB100901A (00433065),1.408,"128.40 (73.61,696.83)","1.78e+52 (1.30e+52,4.11e+52)",459.190 +/-10.662,"3.4059e-06 (2.9460e-06,3.9209e-06)"
GRB100816A (00431764),0.8049,"141.91 (114.15,205.59)","5.44e+51 (4.72e+51,7.28e+51)",2.500 +/-0.220,"2.7132e-06 (2.5241e-06,2.9381e-06)"
GRB100814A (00431605),1.44,"134.99 (108.84,220.98)","5.97e+52 (5.25e+52,8.11e+52)",176.960 +/-3.606,"9.3281e-06 (8.7568e-06,9.9958e-06)"
GRB100728B (00430172),2.106,"81.87 (55.78,187.37)","2.40e+52 (2.01e+52,4.24e+52)",11.520 +/-0.781,"2.5378e-06 (2.3232e-06,2.7660e-06)"
GRB100728A (00430151),1.567,"300.42 (240.64,477.22)","6.41e+53 (5.30e+53,8.55e+53)",222.000 +/-6.891,"6.8368e-05 (6.5909e-05,7.1086e-05)"
GRB100724A (00429868),1.288,"40.66 (24.96,76.74)","9.28e+50 (6.89e+50,1.45e+51)",1.400 +/-0.092,"1.3270e-07 (1.1665e-07,1.5613e-07)"
